,index,Institute,Academic Program Name,Quota,Category,Gender,Opening Rank,Closing Rank,Round,Course Time,Degree Type,IIT,State
46493,46493,Indian Institute of Technology Bhubaneswar,mechanical engineering,AI,SC,Gender-Neutral,1429,1799,6,4, bachelor of technology,1,Odisha
46494,46494,Indian Institute of Technology Bhubaneswar,mechanical engineering,AI,SC,Female-only,2821,2821,6,4, bachelor of technology,1,Odisha
46495,46495,Indian Institute of Technology Bhubaneswar,mechanical engineering,AI,ST,Gender-Neutral,841,875,6,4, bachelor of technology,1,Odisha
46496,46496,Indian Institute of Technology Bhubaneswar,mechanical engineering,AI,ST,Female-only,659,659,6,4, bachelor of technology,1,Odisha
46497,46497,Indian Institute of Technology Bhubaneswar,mechanical engineering and m. tech. in mechanical system design,AI,GEN,Gender-Neutral,8790,9791,6,5, bachelor and master of technology (dual degree),1,Odisha
46498,46498,Indian Institute of Technology Bhubaneswar,mechanical engineering and m. tech. in mechanical system design,AI,GEN,Female-only,15815,15815,6,5, bachelor and master of technology (dual degree),1,Odisha
46499,46499,Indian Institute of Technology Bhubaneswar,mechanical engineering and m. tech. in mechanical system design,AI,EWS,Gender-Neutral,1562,1562,6,5, bachelor and master of technology (dual degree),1,Odisha
46500,46500,Indian Institute of Technology Bhubaneswar,mechanical engineering and m. tech. in mechanical system design,AI,OBC-NCL,Gender-Neutral,3583,3602,6,5, bachelor and master of technology (dual degree),1,Odisha
46501,46501,Indian Institute of Technology Bhubaneswar,mechanical engineering and m. tech. in mechanical system design,AI,OBC-NCL,Female-only,7717,7717,6,5, bachelor and master of technology (dual degree),1,Odisha
46502,46502,Indian Institute of Technology Bhubaneswar,mechanical engineering and m. tech. in mechanical system design,AI,SC,Gender-Neutral,2175,2177,6,5, bachelor and master of technology (dual degree),1,Odisha
46503,46503,Indian Institute of Technology Bhubaneswar,mechanical engineering and m. tech. in mechanical system design,AI,ST,Gender-Neutral,915,915,6,5, bachelor and master of technology (dual degree),1,Odisha
46504,46504,Indian Institute of Technology Bhubaneswar,mechanical engineering and m. tech. in mechanical system design,AI,ST,Female-only,893,893,6,5, bachelor and master of technology (dual degree),1,Odisha
46505,46505,Indian Institute of Technology Bhubaneswar,mechanical engineering and m. tech. in thermal science & engineering,AI,GEN,Gender-Neutral,9807,10849,6,5, bachelor and master of technology (dual degree),1,Odisha
46506,46506,Indian Institute of Technology Bhubaneswar,mechanical engineering and m. tech. in thermal science & engineering,AI,GEN,Female-only,20283,20283,6,5, bachelor and master of technology (dual degree),1,Odisha
46507,46507,Indian Institute of Technology Bhubaneswar,mechanical engineering and m. tech. in thermal science & engineering,AI,EWS,Gender-Neutral,1754,1865,6,5, bachelor and master of technology (dual degree),1,Odisha
46508,46508,Indian Institute of Technology Bhubaneswar,mechanical engineering and m. tech. in thermal science & engineering,AI,OBC-NCL,Gender-Neutral,3664,4047,6,5, bachelor and master of technology (dual degree),1,Odisha
46509,46509,Indian Institute of Technology Bhubaneswar,mechanical engineering and m. tech. in thermal science & engineering,AI,OBC-NCL,Female-only,8172,8172,6,5, bachelor and master of technology (dual degree),1,Odisha
46510,46510,Indian Institute of Technology Bhubaneswar,mechanical engineering and m. tech. in thermal science & engineering,AI,SC,Gender-Neutral,2348,2348,6,5, bachelor and master of technology (dual degree),1,Odisha
46511,46511,Indian Institute of Technology Bhubaneswar,mechanical engineering and m. tech. in thermal science & engineering,AI,SC,Female-only,468,468,6,5, bachelor and master of technology (dual degree),1,Odisha
46512,46512,Indian Institute of Technology Bhubaneswar,mechanical engineering and m. tech. in thermal science & engineering,AI,ST,Gender-Neutral,933,933,6,5, bachelor and master of technology (dual degree),1,Odisha
46513,46513,Indian Institute of Technology Bhubaneswar,mechanical engineering with m.tech. in manufacturing engineering,AI,GEN,Gender-Neutral,10311,10718,6,5, bachelor and master of technology (dual degree),1,Odisha
46514,46514,Indian Institute of Technology Bhubaneswar,mechanical engineering with m.tech. in manufacturing engineering,AI,GEN,Female-only,19591,19591,6,5, bachelor and master of technology (dual degree),1,Odisha
46515,46515,Indian Institute of Technology Bhubaneswar,mechanical engineering with m.tech. in manufacturing engineering,AI,EWS,Gender-Neutral,1667,1816,6,5, bachelor and master of technology (dual degree),1,Odisha
46516,46516,Indian Institute of Technology Bhubaneswar,mechanical engineering with m.tech. in manufacturing engineering,AI,OBC-NCL,Gender-Neutral,3468,4156,6,5, bachelor and master of technology (dual degree),1,Odisha
46517,46517,Indian Institute of Technology Bhubaneswar,mechanical engineering with m.tech. in manufacturing engineering,AI,OBC-NCL,Female-only,8149,8149,6,5, bachelor and master of technology (dual degree),1,Odisha
46518,46518,Indian Institute of Technology Bhubaneswar,mechanical engineering with m.tech. in manufacturing engineering,AI,SC,Gender-Neutral,2096,2346,6,5, bachelor and master of technology (dual degree),1,Odisha
46519,46519,Indian Institute of Technology Bhubaneswar,mechanical engineering with m.tech. in manufacturing engineering,AI,SC,Female-only,1548,1548,6,5, bachelor and master of technology (dual degree),1,Odisha
46520,46520,Indian Institute of Technology Bhubaneswar,metallurgical and materials engineering,AI,GEN,Gender-Neutral,11393,12509,6,4, bachelor of technology,1,Odisha
46521,46521,Indian Institute of Technology Bhubaneswar,metallurgical and materials engineering,AI,GEN,Female-only,15005,21401,6,4, bachelor of technology,1,Odisha
46522,46522,Indian Institute of Technology Bhubaneswar,metallurgical and materials engineering,AI,EWS,Gender-Neutral,1886,1886,6,4, bachelor of technology,1,Odisha
46523,46523,Indian Institute of Technology Bhubaneswar,metallurgical and materials engineering,AI,EWS,Female-only,3840,3840,6,4, bachelor of technology,1,Odisha
46524,46524,Indian Institute of Technology Bhubaneswar,metallurgical and materials engineering,AI,OBC-NCL,Gender-Neutral,4110,4916,6,4, bachelor of technology,1,Odisha
46525,46525,Indian Institute of Technology Bhubaneswar,metallurgical and materials engineering,AI,OBC-NCL,Female-only,8967,8967,6,4, bachelor of technology,1,Odisha
46526,46526,Indian Institute of Technology Bhubaneswar,metallurgical and materials engineering,AI,SC,Gender-Neutral,2377,2560,6,4, bachelor of technology,1,Odisha
46527,46527,Indian Institute of Technology Bhubaneswar,metallurgical and materials engineering,AI,ST,Gender-Neutral,277,277,6,4, bachelor of technology,1,Odisha
46528,46528,Indian Institute of Technology Bhubaneswar,metallurgical and materials engineering,AI,ST,Female-only,968,968,6,4, bachelor of technology,1,Odisha
46529,46529,Indian Institute of Technology Bhubaneswar,metallurgical and materials engineering,AI,GEN,Gender-Neutral,13082,13875,6,5, bachelor and master of technology (dual degree),1,Odisha
46530,46530,Indian Institute of Technology Bhubaneswar,metallurgical and materials engineering,AI,GEN,Female-only,24380,24380,6,5, bachelor and master of technology (dual degree),1,Odisha
46531,46531,Indian Institute of Technology Bhubaneswar,metallurgical and materials engineering,AI,EWS,Gender-Neutral,2053,2053,6,5, bachelor and master of technology (dual degree),1,Odisha
46532,46532,Indian Institute of Technology Bhubaneswar,metallurgical and materials engineering,AI,EWS,Female-only,3646,3646,6,5, bachelor and master of technology (dual degree),1,Odisha
