CATEGORY,RANK,PERCENTILE
GEN,1409,99.89
GEN,1410,99.89
GEN,1411,99.89
GEN,1412,99.89
GEN,1413,99.89
GEN,1414,99.89
GEN,1415,99.89
GEN,1416,99.89
GEN,1417,99.89
GEN,1418,99.89
GEN,1419,99.89
GEN,1420,99.89
GEN,1421,99.89
GEN,1422,99.89
GEN,1428,99.88
GEN,1429,99.88
GEN,1430,99.88
GEN,1431,99.88
GEN,1432,99.88
GEN,1433,99.88
GEN,1434,99.88
GEN,1435,99.88
GEN,1436,99.88
GEN,1437,99.88
GEN,1438,99.88
GEN,1439,99.88
GEN,1440,99.88
GEN,1441,99.88
GEN,1442,99.88
GEN,1443,99.88
GEN,1444,99.88
GEN,1445,99.88
GEN,1446,99.88
GEN,1447,99.88
GEN,1448,99.88
GEN,1449,99.88
GEN,1450,99.88
GEN,1451,99.88
GEN,1452,99.88
GEN,1453,99.88
GEN,1454,99.88
GEN,1455,99.88
GEN,1456,99.88
GEN,1457,99.88
GEN,1458,99.88
GEN,1459,99.88
GEN,1460,99.88
GEN,1461,99.88
GEN,1462,99.88
GEN,1463,99.88
GEN,1464,99.88
GEN,1465,99.88
GEN,1466,99.88
GEN,1467,99.88
